model,strategy,deg_type_trained,eval_degradation,eval_severity,mean,std,count,formatted
mobilenetv2,baseline,none,clean,0,89.178,0.07259476565152832,5,89.18 ± 0.07
mobilenetv2,baseline,none,contrast,1,88.464,0.109909053312277,5,88.46 ± 0.11
mobilenetv2,baseline,none,contrast,2,85.638,0.3785762802923558,5,85.64 ± 0.38
mobilenetv2,baseline,none,contrast,3,73.454,1.6247399791966763,5,73.45 ± 1.62
mobilenetv2,baseline,none,darkening,1,88.672,0.18390214789392734,5,88.67 ± 0.18
mobilenetv2,baseline,none,darkening,2,86.22999999999999,0.4862098312457306,5,86.23 ± 0.49
mobilenetv2,baseline,none,darkening,3,75.562,1.0542390620727327,5,75.56 ± 1.05
mobilenetv2,baseline,none,gaussian_blur,1,36.084,1.8259463299889171,5,36.08 ± 1.83
mobilenetv2,baseline,none,gaussian_blur,2,18.782,0.7636556815738352,5,18.78 ± 0.76
mobilenetv2,baseline,none,gaussian_blur,3,15.181999999999999,1.5347866301215942,5,15.18 ± 1.53
mobilenetv2,baseline,none,gaussian_noise,1,83.262,1.170713457682965,5,83.26 ± 1.17
mobilenetv2,baseline,none,gaussian_noise,2,46.582,4.963040398787822,5,46.58 ± 4.96
mobilenetv2,baseline,none,gaussian_noise,3,17.408,5.035247759544709,5,17.41 ± 5.04
mobilenetv2,baseline,none,jpeg,1,71.94800000000001,1.1693032113186048,5,71.95 ± 1.17
mobilenetv2,baseline,none,jpeg,2,64.63000000000001,1.3944174410842731,5,64.63 ± 1.39
mobilenetv2,baseline,none,jpeg,3,43.59,2.4885437508711785,5,43.59 ± 2.49
mobilenetv2,baseline,none,motion_blur,1,71.14200000000001,2.172342054097376,5,71.14 ± 2.17
mobilenetv2,baseline,none,motion_blur,2,52.767999999999994,2.315290478536114,5,52.77 ± 2.32
mobilenetv2,baseline,none,motion_blur,3,38.998000000000005,1.9656474760241178,5,39.00 ± 1.97
mobilenetv2,curriculum,gaussian_blur,clean,0,11.864,1.5874129897414853,5,11.86 ± 1.59
mobilenetv2,curriculum,gaussian_blur,contrast,1,12.42,1.8954023319601565,5,12.42 ± 1.90
mobilenetv2,curriculum,gaussian_blur,contrast,2,13.547999999999998,2.4543573496946194,5,13.55 ± 2.45
mobilenetv2,curriculum,gaussian_blur,contrast,3,15.351999999999999,3.456192992296582,5,15.35 ± 3.46
mobilenetv2,curriculum,gaussian_blur,darkening,1,12.182,1.720892210453635,5,12.18 ± 1.72
mobilenetv2,curriculum,gaussian_blur,darkening,2,12.806000000000001,2.022604756248734,5,12.81 ± 2.02
mobilenetv2,curriculum,gaussian_blur,darkening,3,13.819999999999999,2.3575304876077423,5,13.82 ± 2.36
mobilenetv2,curriculum,gaussian_blur,gaussian_blur,1,14.372,2.7682431251607937,5,14.37 ± 2.77
