model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
mobilenetv2,curriculum,gaussian_blur,0,clean,0,10.17
mobilenetv2,curriculum,gaussian_blur,0,gaussian_noise,1,10.12
mobilenetv2,curriculum,gaussian_blur,0,gaussian_noise,2,10.13
mobilenetv2,curriculum,gaussian_blur,0,gaussian_noise,3,10.01
mobilenetv2,curriculum,gaussian_blur,0,gaussian_blur,1,10.49
mobilenetv2,curriculum,gaussian_blur,0,gaussian_blur,2,35.53
mobilenetv2,curriculum,gaussian_blur,0,gaussian_blur,3,72.67
mobilenetv2,curriculum,gaussian_blur,0,motion_blur,1,10.21
mobilenetv2,curriculum,gaussian_blur,0,motion_blur,2,10.33
mobilenetv2,curriculum,gaussian_blur,0,motion_blur,3,10.68
mobilenetv2,curriculum,gaussian_blur,0,jpeg,1,9.96
mobilenetv2,curriculum,gaussian_blur,0,jpeg,2,10.08
mobilenetv2,curriculum,gaussian_blur,0,jpeg,3,10.4
mobilenetv2,curriculum,gaussian_blur,0,contrast,1,10.19
mobilenetv2,curriculum,gaussian_blur,0,contrast,2,10.29
mobilenetv2,curriculum,gaussian_blur,0,contrast,3,10.46
mobilenetv2,curriculum,gaussian_blur,0,darkening,1,10.21
mobilenetv2,curriculum,gaussian_blur,0,darkening,2,10.3
mobilenetv2,curriculum,gaussian_blur,0,darkening,3,10.61
mobilenetv2,curriculum,gaussian_blur,42,clean,0,10.91
mobilenetv2,curriculum,gaussian_blur,42,gaussian_noise,1,10.19
mobilenetv2,curriculum,gaussian_blur,42,gaussian_noise,2,9.61
mobilenetv2,curriculum,gaussian_blur,42,gaussian_noise,3,9.1
mobilenetv2,curriculum,gaussian_blur,42,gaussian_blur,1,13.36
mobilenetv2,curriculum,gaussian_blur,42,gaussian_blur,2,46.28
mobilenetv2,curriculum,gaussian_blur,42,gaussian_blur,3,72.96
mobilenetv2,curriculum,gaussian_blur,42,motion_blur,1,11.41
mobilenetv2,curriculum,gaussian_blur,42,motion_blur,2,11.49
mobilenetv2,curriculum,gaussian_blur,42,motion_blur,3,11.31
mobilenetv2,curriculum,gaussian_blur,42,jpeg,1,10.8
mobilenetv2,curriculum,gaussian_blur,42,jpeg,2,10.54
mobilenetv2,curriculum,gaussian_blur,42,jpeg,3,10.97
mobilenetv2,curriculum,gaussian_blur,42,contrast,1,11.52
mobilenetv2,curriculum,gaussian_blur,42,contrast,2,12.38
mobilenetv2,curriculum,gaussian_blur,42,contrast,3,13.76
mobilenetv2,curriculum,gaussian_blur,42,darkening,1,11.35
mobilenetv2,curriculum,gaussian_blur,42,darkening,2,11.63
mobilenetv2,curriculum,gaussian_blur,42,darkening,3,12.34
mobilenetv2,curriculum,gaussian_blur,123,clean,0,13.41
mobilenetv2,curriculum,gaussian_blur,123,gaussian_noise,1,12.11
mobilenetv2,curriculum,gaussian_blur,123,gaussian_noise,2,10.4
mobilenetv2,curriculum,gaussian_blur,123,gaussian_noise,3,9.62
mobilenetv2,curriculum,gaussian_blur,123,gaussian_blur,1,17.42
mobilenetv2,curriculum,gaussian_blur,123,gaussian_blur,2,47.55
mobilenetv2,curriculum,gaussian_blur,123,gaussian_blur,3,73.47
mobilenetv2,curriculum,gaussian_blur,123,motion_blur,1,13.93
mobilenetv2,curriculum,gaussian_blur,123,motion_blur,2,14.69
mobilenetv2,curriculum,gaussian_blur,123,motion_blur,3,16.32
mobilenetv2,curriculum,gaussian_blur,123,jpeg,1,12.99
mobilenetv2,curriculum,gaussian_blur,123,jpeg,2,12.66
mobilenetv2,curriculum,gaussian_blur,123,jpeg,3,12.08
mobilenetv2,curriculum,gaussian_blur,123,contrast,1,14.43
mobilenetv2,curriculum,gaussian_blur,123,contrast,2,16.33
mobilenetv2,curriculum,gaussian_blur,123,contrast,3,19.68
mobilenetv2,curriculum,gaussian_blur,123,darkening,1,13.74
mobilenetv2,curriculum,gaussian_blur,123,darkening,2,14.55
mobilenetv2,curriculum,gaussian_blur,123,darkening,3,14.89
mobilenetv2,curriculum,gaussian_blur,456,clean,0,13.7
mobilenetv2,curriculum,gaussian_blur,456,gaussian_noise,1,13.39
mobilenetv2,curriculum,gaussian_blur,456,gaussian_noise,2,12.45
mobilenetv2,curriculum,gaussian_blur,456,gaussian_noise,3,11.31
mobilenetv2,curriculum,gaussian_blur,456,gaussian_blur,1,16.63
mobilenetv2,curriculum,gaussian_blur,456,gaussian_blur,2,49.5
mobilenetv2,curriculum,gaussian_blur,456,gaussian_blur,3,73.55
mobilenetv2,curriculum,gaussian_blur,456,motion_blur,1,14.5
mobilenetv2,curriculum,gaussian_blur,456,motion_blur,2,15.37
mobilenetv2,curriculum,gaussian_blur,456,motion_blur,3,14.8
mobilenetv2,curriculum,gaussian_blur,456,jpeg,1,14.23
mobilenetv2,curriculum,gaussian_blur,456,jpeg,2,14.24
mobilenetv2,curriculum,gaussian_blur,456,jpeg,3,14.36
mobilenetv2,curriculum,gaussian_blur,456,contrast,1,14.38
mobilenetv2,curriculum,gaussian_blur,456,contrast,2,15.6
mobilenetv2,curriculum,gaussian_blur,456,contrast,3,16.79
mobilenetv2,curriculum,gaussian_blur,456,darkening,1,14.23
mobilenetv2,curriculum,gaussian_blur,456,darkening,2,15.15
mobilenetv2,curriculum,gaussian_blur,456,darkening,3,16.64
mobilenetv2,curriculum,gaussian_blur,789,clean,0,11.13
mobilenetv2,curriculum,gaussian_blur,789,gaussian_noise,1,10.59
mobilenetv2,curriculum,gaussian_blur,789,gaussian_noise,2,10.31
mobilenetv2,curriculum,gaussian_blur,789,gaussian_noise,3,10.0
mobilenetv2,curriculum,gaussian_blur,789,gaussian_blur,1,13.96
mobilenetv2,curriculum,gaussian_blur,789,gaussian_blur,2,47.23
mobilenetv2,curriculum,gaussian_blur,789,gaussian_blur,3,72.96
mobilenetv2,curriculum,gaussian_blur,789,motion_blur,1,11.42
mobilenetv2,curriculum,gaussian_blur,789,motion_blur,2,11.73
mobilenetv2,curriculum,gaussian_blur,789,motion_blur,3,12.41
mobilenetv2,curriculum,gaussian_blur,789,jpeg,1,11.33
mobilenetv2,curriculum,gaussian_blur,789,jpeg,2,11.48
mobilenetv2,curriculum,gaussian_blur,789,jpeg,3,10.81
mobilenetv2,curriculum,gaussian_blur,789,contrast,1,11.58
mobilenetv2,curriculum,gaussian_blur,789,contrast,2,13.14
mobilenetv2,curriculum,gaussian_blur,789,contrast,3,16.07
mobilenetv2,curriculum,gaussian_blur,789,darkening,1,11.38
mobilenetv2,curriculum,gaussian_blur,789,darkening,2,12.4
mobilenetv2,curriculum,gaussian_blur,789,darkening,3,14.62
