model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
mobilenetv2,curriculum,gaussian_noise,0,clean,0,80.15
mobilenetv2,curriculum,gaussian_noise,0,gaussian_noise,1,80.47
mobilenetv2,curriculum,gaussian_noise,0,gaussian_noise,2,82.17
mobilenetv2,curriculum,gaussian_noise,0,gaussian_noise,3,83.01
mobilenetv2,curriculum,gaussian_noise,0,gaussian_blur,1,47.94
mobilenetv2,curriculum,gaussian_noise,0,gaussian_blur,2,26.01
mobilenetv2,curriculum,gaussian_noise,0,gaussian_blur,3,19.31
mobilenetv2,curriculum,gaussian_noise,0,motion_blur,1,63.31
mobilenetv2,curriculum,gaussian_noise,0,motion_blur,2,45.41
mobilenetv2,curriculum,gaussian_noise,0,motion_blur,3,34.49
mobilenetv2,curriculum,gaussian_noise,0,jpeg,1,76.53
mobilenetv2,curriculum,gaussian_noise,0,jpeg,2,73.28
mobilenetv2,curriculum,gaussian_noise,0,jpeg,3,60.64
mobilenetv2,curriculum,gaussian_noise,0,contrast,1,73.85
mobilenetv2,curriculum,gaussian_noise,0,contrast,2,58.5
mobilenetv2,curriculum,gaussian_noise,0,contrast,3,29.13
mobilenetv2,curriculum,gaussian_noise,0,darkening,1,75.63
mobilenetv2,curriculum,gaussian_noise,0,darkening,2,64.66
mobilenetv2,curriculum,gaussian_noise,0,darkening,3,38.22
mobilenetv2,curriculum,gaussian_noise,42,clean,0,79.82
mobilenetv2,curriculum,gaussian_noise,42,gaussian_noise,1,80.27
mobilenetv2,curriculum,gaussian_noise,42,gaussian_noise,2,81.85
mobilenetv2,curriculum,gaussian_noise,42,gaussian_noise,3,83.12
mobilenetv2,curriculum,gaussian_noise,42,gaussian_blur,1,44.26
mobilenetv2,curriculum,gaussian_noise,42,gaussian_blur,2,24.67
mobilenetv2,curriculum,gaussian_noise,42,gaussian_blur,3,19.96
mobilenetv2,curriculum,gaussian_noise,42,motion_blur,1,62.8
mobilenetv2,curriculum,gaussian_noise,42,motion_blur,2,45.23
mobilenetv2,curriculum,gaussian_noise,42,motion_blur,3,34.73
mobilenetv2,curriculum,gaussian_noise,42,jpeg,1,75.64
mobilenetv2,curriculum,gaussian_noise,42,jpeg,2,73.13
mobilenetv2,curriculum,gaussian_noise,42,jpeg,3,60.74
mobilenetv2,curriculum,gaussian_noise,42,contrast,1,73.26
mobilenetv2,curriculum,gaussian_noise,42,contrast,2,56.29
mobilenetv2,curriculum,gaussian_noise,42,contrast,3,27.35
mobilenetv2,curriculum,gaussian_noise,42,darkening,1,74.29
mobilenetv2,curriculum,gaussian_noise,42,darkening,2,61.0
mobilenetv2,curriculum,gaussian_noise,42,darkening,3,33.46
mobilenetv2,curriculum,gaussian_noise,123,clean,0,78.93
mobilenetv2,curriculum,gaussian_noise,123,gaussian_noise,1,79.22
mobilenetv2,curriculum,gaussian_noise,123,gaussian_noise,2,81.33
mobilenetv2,curriculum,gaussian_noise,123,gaussian_noise,3,83.31
mobilenetv2,curriculum,gaussian_noise,123,gaussian_blur,1,43.96
mobilenetv2,curriculum,gaussian_noise,123,gaussian_blur,2,22.64
mobilenetv2,curriculum,gaussian_noise,123,gaussian_blur,3,17.15
mobilenetv2,curriculum,gaussian_noise,123,motion_blur,1,61.79
mobilenetv2,curriculum,gaussian_noise,123,motion_blur,2,45.64
mobilenetv2,curriculum,gaussian_noise,123,motion_blur,3,35.42
mobilenetv2,curriculum,gaussian_noise,123,jpeg,1,75.53
mobilenetv2,curriculum,gaussian_noise,123,jpeg,2,72.77
mobilenetv2,curriculum,gaussian_noise,123,jpeg,3,60.4
mobilenetv2,curriculum,gaussian_noise,123,contrast,1,72.06
mobilenetv2,curriculum,gaussian_noise,123,contrast,2,55.65
mobilenetv2,curriculum,gaussian_noise,123,contrast,3,25.74
mobilenetv2,curriculum,gaussian_noise,123,darkening,1,73.43
mobilenetv2,curriculum,gaussian_noise,123,darkening,2,61.45
mobilenetv2,curriculum,gaussian_noise,123,darkening,3,36.6
mobilenetv2,curriculum,gaussian_noise,456,clean,0,77.99
mobilenetv2,curriculum,gaussian_noise,456,gaussian_noise,1,78.72
mobilenetv2,curriculum,gaussian_noise,456,gaussian_noise,2,80.58
mobilenetv2,curriculum,gaussian_noise,456,gaussian_noise,3,82.94
mobilenetv2,curriculum,gaussian_noise,456,gaussian_blur,1,43.5
mobilenetv2,curriculum,gaussian_noise,456,gaussian_blur,2,18.15
mobilenetv2,curriculum,gaussian_noise,456,gaussian_blur,3,11.43
mobilenetv2,curriculum,gaussian_noise,456,motion_blur,1,60.99
mobilenetv2,curriculum,gaussian_noise,456,motion_blur,2,42.43
mobilenetv2,curriculum,gaussian_noise,456,motion_blur,3,31.02
mobilenetv2,curriculum,gaussian_noise,456,jpeg,1,74.14
mobilenetv2,curriculum,gaussian_noise,456,jpeg,2,71.11
mobilenetv2,curriculum,gaussian_noise,456,jpeg,3,58.16
mobilenetv2,curriculum,gaussian_noise,456,contrast,1,70.47
mobilenetv2,curriculum,gaussian_noise,456,contrast,2,53.7
mobilenetv2,curriculum,gaussian_noise,456,contrast,3,22.54
mobilenetv2,curriculum,gaussian_noise,456,darkening,1,72.18
mobilenetv2,curriculum,gaussian_noise,456,darkening,2,58.53
mobilenetv2,curriculum,gaussian_noise,456,darkening,3,32.1
mobilenetv2,curriculum,gaussian_noise,789,clean,0,80.56
mobilenetv2,curriculum,gaussian_noise,789,gaussian_noise,1,81.07
mobilenetv2,curriculum,gaussian_noise,789,gaussian_noise,2,82.51
mobilenetv2,curriculum,gaussian_noise,789,gaussian_noise,3,83.56
mobilenetv2,curriculum,gaussian_noise,789,gaussian_blur,1,47.58
mobilenetv2,curriculum,gaussian_noise,789,gaussian_blur,2,23.9
mobilenetv2,curriculum,gaussian_noise,789,gaussian_blur,3,17.31
mobilenetv2,curriculum,gaussian_noise,789,motion_blur,1,62.92
mobilenetv2,curriculum,gaussian_noise,789,motion_blur,2,45.26
mobilenetv2,curriculum,gaussian_noise,789,motion_blur,3,34.05
mobilenetv2,curriculum,gaussian_noise,789,jpeg,1,77.01
mobilenetv2,curriculum,gaussian_noise,789,jpeg,2,73.8
mobilenetv2,curriculum,gaussian_noise,789,jpeg,3,61.24
mobilenetv2,curriculum,gaussian_noise,789,contrast,1,74.27
mobilenetv2,curriculum,gaussian_noise,789,contrast,2,58.81
mobilenetv2,curriculum,gaussian_noise,789,contrast,3,27.96
mobilenetv2,curriculum,gaussian_noise,789,darkening,1,75.61
