model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
mobilenetv2,mixed,none,0,clean,0,85.79
mobilenetv2,mixed,none,0,gaussian_noise,1,85.36
mobilenetv2,mixed,none,0,gaussian_noise,2,84.05
mobilenetv2,mixed,none,0,gaussian_noise,3,78.74
mobilenetv2,mixed,none,0,gaussian_blur,1,82.63
mobilenetv2,mixed,none,0,gaussian_blur,2,74.05
mobilenetv2,mixed,none,0,gaussian_blur,3,65.37
mobilenetv2,mixed,none,0,motion_blur,1,84.51
mobilenetv2,mixed,none,0,motion_blur,2,82.97
mobilenetv2,mixed,none,0,motion_blur,3,80.61
mobilenetv2,mixed,none,0,jpeg,1,80.9
mobilenetv2,mixed,none,0,jpeg,2,79.18
mobilenetv2,mixed,none,0,jpeg,3,68.89
mobilenetv2,mixed,none,0,contrast,1,86.25
mobilenetv2,mixed,none,0,contrast,2,86.06
mobilenetv2,mixed,none,0,contrast,3,85.43
mobilenetv2,mixed,none,0,darkening,1,86.02
mobilenetv2,mixed,none,0,darkening,2,86.12
mobilenetv2,mixed,none,0,darkening,3,85.38
mobilenetv2,mixed,none,42,clean,0,86.07
mobilenetv2,mixed,none,42,gaussian_noise,1,85.53
mobilenetv2,mixed,none,42,gaussian_noise,2,83.89
mobilenetv2,mixed,none,42,gaussian_noise,3,79.05
mobilenetv2,mixed,none,42,gaussian_blur,1,82.63
mobilenetv2,mixed,none,42,gaussian_blur,2,74.21
mobilenetv2,mixed,none,42,gaussian_blur,3,66.42
mobilenetv2,mixed,none,42,motion_blur,1,84.86
mobilenetv2,mixed,none,42,motion_blur,2,83.39
mobilenetv2,mixed,none,42,motion_blur,3,80.46
mobilenetv2,mixed,none,42,jpeg,1,81.66
mobilenetv2,mixed,none,42,jpeg,2,79.81
mobilenetv2,mixed,none,42,jpeg,3,68.85
mobilenetv2,mixed,none,42,contrast,1,86.42
mobilenetv2,mixed,none,42,contrast,2,86.34
mobilenetv2,mixed,none,42,contrast,3,85.26
mobilenetv2,mixed,none,42,darkening,1,86.37
mobilenetv2,mixed,none,42,darkening,2,86.29
mobilenetv2,mixed,none,42,darkening,3,85.28
mobilenetv2,mixed,none,123,clean,0,85.85
mobilenetv2,mixed,none,123,gaussian_noise,1,85.87
mobilenetv2,mixed,none,123,gaussian_noise,2,83.84
mobilenetv2,mixed,none,123,gaussian_noise,3,79.4
mobilenetv2,mixed,none,123,gaussian_blur,1,82.36
mobilenetv2,mixed,none,123,gaussian_blur,2,73.78
mobilenetv2,mixed,none,123,gaussian_blur,3,64.69
mobilenetv2,mixed,none,123,motion_blur,1,84.64
mobilenetv2,mixed,none,123,motion_blur,2,83.32
mobilenetv2,mixed,none,123,motion_blur,3,80.53
mobilenetv2,mixed,none,123,jpeg,1,81.54
mobilenetv2,mixed,none,123,jpeg,2,79.14
mobilenetv2,mixed,none,123,jpeg,3,69.37
mobilenetv2,mixed,none,123,contrast,1,86.09
mobilenetv2,mixed,none,123,contrast,2,86.12
mobilenetv2,mixed,none,123,contrast,3,85.45
mobilenetv2,mixed,none,123,darkening,1,86.12
mobilenetv2,mixed,none,123,darkening,2,85.81
mobilenetv2,mixed,none,123,darkening,3,85.33
mobilenetv2,mixed,none,456,clean,0,85.93
mobilenetv2,mixed,none,456,gaussian_noise,1,85.17
mobilenetv2,mixed,none,456,gaussian_noise,2,83.54
mobilenetv2,mixed,none,456,gaussian_noise,3,79.06
mobilenetv2,mixed,none,456,gaussian_blur,1,82.37
mobilenetv2,mixed,none,456,gaussian_blur,2,73.98
mobilenetv2,mixed,none,456,gaussian_blur,3,66.0
mobilenetv2,mixed,none,456,motion_blur,1,84.63
mobilenetv2,mixed,none,456,motion_blur,2,83.29
mobilenetv2,mixed,none,456,motion_blur,3,80.6
mobilenetv2,mixed,none,456,jpeg,1,81.19
mobilenetv2,mixed,none,456,jpeg,2,79.48
mobilenetv2,mixed,none,456,jpeg,3,69.56
mobilenetv2,mixed,none,456,contrast,1,86.2
mobilenetv2,mixed,none,456,contrast,2,86.24
mobilenetv2,mixed,none,456,contrast,3,85.25
mobilenetv2,mixed,none,456,darkening,1,86.14
mobilenetv2,mixed,none,456,darkening,2,86.14
mobilenetv2,mixed,none,456,darkening,3,85.23
mobilenetv2,mixed,none,789,clean,0,85.86
mobilenetv2,mixed,none,789,gaussian_noise,1,85.64
mobilenetv2,mixed,none,789,gaussian_noise,2,84.28
mobilenetv2,mixed,none,789,gaussian_noise,3,78.73
mobilenetv2,mixed,none,789,gaussian_blur,1,82.73
mobilenetv2,mixed,none,789,gaussian_blur,2,74.02
mobilenetv2,mixed,none,789,gaussian_blur,3,64.6
mobilenetv2,mixed,none,789,motion_blur,1,84.59
mobilenetv2,mixed,none,789,motion_blur,2,83.59
mobilenetv2,mixed,none,789,motion_blur,3,81.21
mobilenetv2,mixed,none,789,jpeg,1,81.71
mobilenetv2,mixed,none,789,jpeg,2,79.27
mobilenetv2,mixed,none,789,jpeg,3,69.55
mobilenetv2,mixed,none,789,contrast,1,86.41
mobilenetv2,mixed,none,789,contrast,2,86.58
mobilenetv2,mixed,none,789,contrast,3,85.65
mobilenetv2,mixed,none,789,darkening,1,86.19
mobilenetv2,mixed,none,789,darkening,2,86.04
mobilenetv2,mixed,none,789,darkening,3,85.14
