model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
mobilenetv2,single,gaussian_blur,0,clean,0,78.26
mobilenetv2,single,gaussian_blur,0,gaussian_noise,1,76.3
mobilenetv2,single,gaussian_blur,0,gaussian_noise,2,66.04
mobilenetv2,single,gaussian_blur,0,gaussian_noise,3,46.75
mobilenetv2,single,gaussian_blur,0,gaussian_blur,1,80.16
mobilenetv2,single,gaussian_blur,0,gaussian_blur,2,77.37
mobilenetv2,single,gaussian_blur,0,gaussian_blur,3,72.69
mobilenetv2,single,gaussian_blur,0,motion_blur,1,77.25
mobilenetv2,single,gaussian_blur,0,motion_blur,2,69.26
mobilenetv2,single,gaussian_blur,0,motion_blur,3,60.22
mobilenetv2,single,gaussian_blur,0,jpeg,1,70.93
mobilenetv2,single,gaussian_blur,0,jpeg,2,69.12
mobilenetv2,single,gaussian_blur,0,jpeg,3,58.62
mobilenetv2,single,gaussian_blur,0,contrast,1,77.91
mobilenetv2,single,gaussian_blur,0,contrast,2,75.2
mobilenetv2,single,gaussian_blur,0,contrast,3,67.59
mobilenetv2,single,gaussian_blur,0,darkening,1,77.47
mobilenetv2,single,gaussian_blur,0,darkening,2,75.18
mobilenetv2,single,gaussian_blur,0,darkening,3,69.1
mobilenetv2,single,gaussian_blur,42,clean,0,77.92
mobilenetv2,single,gaussian_blur,42,gaussian_noise,1,75.6
mobilenetv2,single,gaussian_blur,42,gaussian_noise,2,64.84
mobilenetv2,single,gaussian_blur,42,gaussian_noise,3,44.92
mobilenetv2,single,gaussian_blur,42,gaussian_blur,1,80.93
mobilenetv2,single,gaussian_blur,42,gaussian_blur,2,78.46
mobilenetv2,single,gaussian_blur,42,gaussian_blur,3,73.0
mobilenetv2,single,gaussian_blur,42,motion_blur,1,77.21
mobilenetv2,single,gaussian_blur,42,motion_blur,2,68.93
mobilenetv2,single,gaussian_blur,42,motion_blur,3,58.5
mobilenetv2,single,gaussian_blur,42,jpeg,1,71.37
mobilenetv2,single,gaussian_blur,42,jpeg,2,68.89
mobilenetv2,single,gaussian_blur,42,jpeg,3,56.82
mobilenetv2,single,gaussian_blur,42,contrast,1,78.27
mobilenetv2,single,gaussian_blur,42,contrast,2,76.04
mobilenetv2,single,gaussian_blur,42,contrast,3,68.67
mobilenetv2,single,gaussian_blur,42,darkening,1,77.56
mobilenetv2,single,gaussian_blur,42,darkening,2,75.73
mobilenetv2,single,gaussian_blur,42,darkening,3,69.91
mobilenetv2,single,gaussian_blur,123,clean,0,78.27
mobilenetv2,single,gaussian_blur,123,gaussian_noise,1,76.54
mobilenetv2,single,gaussian_blur,123,gaussian_noise,2,66.74
mobilenetv2,single,gaussian_blur,123,gaussian_noise,3,44.94
mobilenetv2,single,gaussian_blur,123,gaussian_blur,1,79.97
mobilenetv2,single,gaussian_blur,123,gaussian_blur,2,77.31
mobilenetv2,single,gaussian_blur,123,gaussian_blur,3,72.22
mobilenetv2,single,gaussian_blur,123,motion_blur,1,77.5
mobilenetv2,single,gaussian_blur,123,motion_blur,2,70.57
mobilenetv2,single,gaussian_blur,123,motion_blur,3,61.15
mobilenetv2,single,gaussian_blur,123,jpeg,1,71.55
mobilenetv2,single,gaussian_blur,123,jpeg,2,69.96
mobilenetv2,single,gaussian_blur,123,jpeg,3,58.24
mobilenetv2,single,gaussian_blur,123,contrast,1,78.2
mobilenetv2,single,gaussian_blur,123,contrast,2,76.33
mobilenetv2,single,gaussian_blur,123,contrast,3,70.41
mobilenetv2,single,gaussian_blur,123,darkening,1,78.11
mobilenetv2,single,gaussian_blur,123,darkening,2,75.81
mobilenetv2,single,gaussian_blur,123,darkening,3,69.81
mobilenetv2,single,gaussian_blur,456,clean,0,76.95
mobilenetv2,single,gaussian_blur,456,gaussian_noise,1,75.16
mobilenetv2,single,gaussian_blur,456,gaussian_noise,2,64.06
mobilenetv2,single,gaussian_blur,456,gaussian_noise,3,43.86
mobilenetv2,single,gaussian_blur,456,gaussian_blur,1,80.56
mobilenetv2,single,gaussian_blur,456,gaussian_blur,2,77.86
mobilenetv2,single,gaussian_blur,456,gaussian_blur,3,73.0
mobilenetv2,single,gaussian_blur,456,motion_blur,1,76.8
mobilenetv2,single,gaussian_blur,456,motion_blur,2,68.73
mobilenetv2,single,gaussian_blur,456,motion_blur,3,57.39
mobilenetv2,single,gaussian_blur,456,jpeg,1,70.9
mobilenetv2,single,gaussian_blur,456,jpeg,2,69.04
mobilenetv2,single,gaussian_blur,456,jpeg,3,58.28
mobilenetv2,single,gaussian_blur,456,contrast,1,77.38
mobilenetv2,single,gaussian_blur,456,contrast,2,75.83
mobilenetv2,single,gaussian_blur,456,contrast,3,69.11
mobilenetv2,single,gaussian_blur,456,darkening,1,76.62
mobilenetv2,single,gaussian_blur,456,darkening,2,74.97
mobilenetv2,single,gaussian_blur,456,darkening,3,70.65
mobilenetv2,single,gaussian_blur,789,clean,0,78.48
mobilenetv2,single,gaussian_blur,789,gaussian_noise,1,76.59
mobilenetv2,single,gaussian_blur,789,gaussian_noise,2,65.42
mobilenetv2,single,gaussian_blur,789,gaussian_noise,3,44.18
mobilenetv2,single,gaussian_blur,789,gaussian_blur,1,80.56
mobilenetv2,single,gaussian_blur,789,gaussian_blur,2,78.09
mobilenetv2,single,gaussian_blur,789,gaussian_blur,3,72.71
mobilenetv2,single,gaussian_blur,789,motion_blur,1,78.01
mobilenetv2,single,gaussian_blur,789,motion_blur,2,70.17
mobilenetv2,single,gaussian_blur,789,motion_blur,3,60.31
mobilenetv2,single,gaussian_blur,789,jpeg,1,71.03
mobilenetv2,single,gaussian_blur,789,jpeg,2,67.82
mobilenetv2,single,gaussian_blur,789,jpeg,3,55.95
mobilenetv2,single,gaussian_blur,789,contrast,1,78.85
mobilenetv2,single,gaussian_blur,789,contrast,2,76.44
mobilenetv2,single,gaussian_blur,789,contrast,3,68.84
mobilenetv2,single,gaussian_blur,789,darkening,1,78.58
mobilenetv2,single,gaussian_blur,789,darkening,2,76.73
mobilenetv2,single,gaussian_blur,789,darkening,3,70.83
