model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
mobilenetv2,single,gaussian_noise,0,clean,0,87.03
mobilenetv2,single,gaussian_noise,0,gaussian_noise,1,86.87
mobilenetv2,single,gaussian_noise,0,gaussian_noise,2,85.84
mobilenetv2,single,gaussian_noise,0,gaussian_noise,3,82.72
mobilenetv2,single,gaussian_noise,0,gaussian_blur,1,62.04
mobilenetv2,single,gaussian_noise,0,gaussian_blur,2,30.34
mobilenetv2,single,gaussian_noise,0,gaussian_blur,3,22.69
mobilenetv2,single,gaussian_noise,0,motion_blur,1,77.57
mobilenetv2,single,gaussian_noise,0,motion_blur,2,61.82
mobilenetv2,single,gaussian_noise,0,motion_blur,3,48.84
mobilenetv2,single,gaussian_noise,0,jpeg,1,82.26
mobilenetv2,single,gaussian_noise,0,jpeg,2,78.76
mobilenetv2,single,gaussian_noise,0,jpeg,3,64.9
mobilenetv2,single,gaussian_noise,0,contrast,1,86.06
mobilenetv2,single,gaussian_noise,0,contrast,2,82.09
mobilenetv2,single,gaussian_noise,0,contrast,3,66.3
mobilenetv2,single,gaussian_noise,0,darkening,1,86.39
mobilenetv2,single,gaussian_noise,0,darkening,2,82.51
mobilenetv2,single,gaussian_noise,0,darkening,3,70.49
mobilenetv2,single,gaussian_noise,42,clean,0,86.92
mobilenetv2,single,gaussian_noise,42,gaussian_noise,1,86.82
mobilenetv2,single,gaussian_noise,42,gaussian_noise,2,86.02
mobilenetv2,single,gaussian_noise,42,gaussian_noise,3,82.53
mobilenetv2,single,gaussian_noise,42,gaussian_blur,1,56.17
mobilenetv2,single,gaussian_noise,42,gaussian_blur,2,28.66
mobilenetv2,single,gaussian_noise,42,gaussian_blur,3,21.82
mobilenetv2,single,gaussian_noise,42,motion_blur,1,74.71
mobilenetv2,single,gaussian_noise,42,motion_blur,2,56.6
mobilenetv2,single,gaussian_noise,42,motion_blur,3,44.77
mobilenetv2,single,gaussian_noise,42,jpeg,1,82.38
mobilenetv2,single,gaussian_noise,42,jpeg,2,78.75
mobilenetv2,single,gaussian_noise,42,jpeg,3,64.14
mobilenetv2,single,gaussian_noise,42,contrast,1,86.08
mobilenetv2,single,gaussian_noise,42,contrast,2,81.2
mobilenetv2,single,gaussian_noise,42,contrast,3,63.98
mobilenetv2,single,gaussian_noise,42,darkening,1,86.13
mobilenetv2,single,gaussian_noise,42,darkening,2,82.37
mobilenetv2,single,gaussian_noise,42,darkening,3,69.49
mobilenetv2,single,gaussian_noise,123,clean,0,86.85
mobilenetv2,single,gaussian_noise,123,gaussian_noise,1,86.74
mobilenetv2,single,gaussian_noise,123,gaussian_noise,2,85.68
mobilenetv2,single,gaussian_noise,123,gaussian_noise,3,82.33
mobilenetv2,single,gaussian_noise,123,gaussian_blur,1,56.97
mobilenetv2,single,gaussian_noise,123,gaussian_blur,2,28.53
mobilenetv2,single,gaussian_noise,123,gaussian_blur,3,22.08
mobilenetv2,single,gaussian_noise,123,motion_blur,1,75.91
mobilenetv2,single,gaussian_noise,123,motion_blur,2,59.17
mobilenetv2,single,gaussian_noise,123,motion_blur,3,45.28
mobilenetv2,single,gaussian_noise,123,jpeg,1,82.13
mobilenetv2,single,gaussian_noise,123,jpeg,2,78.77
mobilenetv2,single,gaussian_noise,123,jpeg,3,64.01
mobilenetv2,single,gaussian_noise,123,contrast,1,85.77
mobilenetv2,single,gaussian_noise,123,contrast,2,81.8
mobilenetv2,single,gaussian_noise,123,contrast,3,62.98
mobilenetv2,single,gaussian_noise,123,darkening,1,85.93
mobilenetv2,single,gaussian_noise,123,darkening,2,82.21
mobilenetv2,single,gaussian_noise,123,darkening,3,67.55
mobilenetv2,single,gaussian_noise,456,clean,0,87.26
mobilenetv2,single,gaussian_noise,456,gaussian_noise,1,87.04
mobilenetv2,single,gaussian_noise,456,gaussian_noise,2,86.32
mobilenetv2,single,gaussian_noise,456,gaussian_noise,3,82.69
mobilenetv2,single,gaussian_noise,456,gaussian_blur,1,61.49
mobilenetv2,single,gaussian_noise,456,gaussian_blur,2,29.11
mobilenetv2,single,gaussian_noise,456,gaussian_blur,3,21.58
mobilenetv2,single,gaussian_noise,456,motion_blur,1,76.6
mobilenetv2,single,gaussian_noise,456,motion_blur,2,58.36
mobilenetv2,single,gaussian_noise,456,motion_blur,3,44.74
mobilenetv2,single,gaussian_noise,456,jpeg,1,82.06
mobilenetv2,single,gaussian_noise,456,jpeg,2,78.47
mobilenetv2,single,gaussian_noise,456,jpeg,3,62.99
mobilenetv2,single,gaussian_noise,456,contrast,1,86.34
mobilenetv2,single,gaussian_noise,456,contrast,2,81.74
mobilenetv2,single,gaussian_noise,456,contrast,3,63.82
mobilenetv2,single,gaussian_noise,456,darkening,1,86.34
mobilenetv2,single,gaussian_noise,456,darkening,2,82.95
mobilenetv2,single,gaussian_noise,456,darkening,3,69.3
mobilenetv2,single,gaussian_noise,789,clean,0,86.95
mobilenetv2,single,gaussian_noise,789,gaussian_noise,1,87.0
mobilenetv2,single,gaussian_noise,789,gaussian_noise,2,85.79
mobilenetv2,single,gaussian_noise,789,gaussian_noise,3,82.48
mobilenetv2,single,gaussian_noise,789,gaussian_blur,1,61.65
mobilenetv2,single,gaussian_noise,789,gaussian_blur,2,30.31
mobilenetv2,single,gaussian_noise,789,gaussian_blur,3,21.35
mobilenetv2,single,gaussian_noise,789,motion_blur,1,77.49
mobilenetv2,single,gaussian_noise,789,motion_blur,2,61.33
mobilenetv2,single,gaussian_noise,789,motion_blur,3,49.59
mobilenetv2,single,gaussian_noise,789,jpeg,1,82.33
mobilenetv2,single,gaussian_noise,789,jpeg,2,78.82
mobilenetv2,single,gaussian_noise,789,jpeg,3,64.09
mobilenetv2,single,gaussian_noise,789,contrast,1,86.4
mobilenetv2,single,gaussian_noise,789,contrast,2,82.52
mobilenetv2,single,gaussian_noise,789,contrast,3,66.15
mobilenetv2,single,gaussian_noise,789,darkening,1,86.22
mobilenetv2,single,gaussian_noise,789,darkening,2,82.81
mobilenetv2,single,gaussian_noise,789,darkening,3,71.15
