model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
resnet18,curriculum,gaussian_blur,0,clean,0,13.79
resnet18,curriculum,gaussian_blur,0,gaussian_noise,1,13.31
resnet18,curriculum,gaussian_blur,0,gaussian_noise,2,12.81
resnet18,curriculum,gaussian_blur,0,gaussian_noise,3,12.54
resnet18,curriculum,gaussian_blur,0,gaussian_blur,1,15.85
resnet18,curriculum,gaussian_blur,0,gaussian_blur,2,45.46
resnet18,curriculum,gaussian_blur,0,gaussian_blur,3,80.97
resnet18,curriculum,gaussian_blur,0,motion_blur,1,14.66
resnet18,curriculum,gaussian_blur,0,motion_blur,2,17.2
resnet18,curriculum,gaussian_blur,0,motion_blur,3,17.88
resnet18,curriculum,gaussian_blur,0,jpeg,1,12.25
resnet18,curriculum,gaussian_blur,0,jpeg,2,12.07
resnet18,curriculum,gaussian_blur,0,jpeg,3,11.72
resnet18,curriculum,gaussian_blur,0,contrast,1,14.33
resnet18,curriculum,gaussian_blur,0,contrast,2,15.85
resnet18,curriculum,gaussian_blur,0,contrast,3,18.19
resnet18,curriculum,gaussian_blur,0,darkening,1,14.55
resnet18,curriculum,gaussian_blur,0,darkening,2,15.69
resnet18,curriculum,gaussian_blur,0,darkening,3,17.56
resnet18,curriculum,gaussian_blur,42,clean,0,9.6
resnet18,curriculum,gaussian_blur,42,gaussian_noise,1,9.15
resnet18,curriculum,gaussian_blur,42,gaussian_noise,2,8.84
resnet18,curriculum,gaussian_blur,42,gaussian_noise,3,8.57
resnet18,curriculum,gaussian_blur,42,gaussian_blur,1,11.18
resnet18,curriculum,gaussian_blur,42,gaussian_blur,2,39.17
resnet18,curriculum,gaussian_blur,42,gaussian_blur,3,80.55
resnet18,curriculum,gaussian_blur,42,motion_blur,1,9.86
resnet18,curriculum,gaussian_blur,42,motion_blur,2,9.55
resnet18,curriculum,gaussian_blur,42,motion_blur,3,10.15
resnet18,curriculum,gaussian_blur,42,jpeg,1,9.75
resnet18,curriculum,gaussian_blur,42,jpeg,2,9.72
resnet18,curriculum,gaussian_blur,42,jpeg,3,9.69
resnet18,curriculum,gaussian_blur,42,contrast,1,10.57
resnet18,curriculum,gaussian_blur,42,contrast,2,12.32
resnet18,curriculum,gaussian_blur,42,contrast,3,15.9
resnet18,curriculum,gaussian_blur,42,darkening,1,10.98
resnet18,curriculum,gaussian_blur,42,darkening,2,13.02
resnet18,curriculum,gaussian_blur,42,darkening,3,15.88
resnet18,curriculum,gaussian_blur,123,clean,0,14.96
resnet18,curriculum,gaussian_blur,123,gaussian_noise,1,14.8
resnet18,curriculum,gaussian_blur,123,gaussian_noise,2,14.28
resnet18,curriculum,gaussian_blur,123,gaussian_noise,3,12.8
resnet18,curriculum,gaussian_blur,123,gaussian_blur,1,15.78
resnet18,curriculum,gaussian_blur,123,gaussian_blur,2,41.01
resnet18,curriculum,gaussian_blur,123,gaussian_blur,3,80.88
resnet18,curriculum,gaussian_blur,123,motion_blur,1,14.55
resnet18,curriculum,gaussian_blur,123,motion_blur,2,14.8
resnet18,curriculum,gaussian_blur,123,motion_blur,3,15.13
resnet18,curriculum,gaussian_blur,123,jpeg,1,14.96
resnet18,curriculum,gaussian_blur,123,jpeg,2,14.95
resnet18,curriculum,gaussian_blur,123,jpeg,3,14.62
resnet18,curriculum,gaussian_blur,123,contrast,1,14.8
resnet18,curriculum,gaussian_blur,123,contrast,2,15.18
resnet18,curriculum,gaussian_blur,123,contrast,3,18.62
resnet18,curriculum,gaussian_blur,123,darkening,1,14.28
resnet18,curriculum,gaussian_blur,123,darkening,2,14.13
resnet18,curriculum,gaussian_blur,123,darkening,3,15.33
resnet18,curriculum,gaussian_blur,456,clean,0,13.07
resnet18,curriculum,gaussian_blur,456,gaussian_noise,1,12.94
resnet18,curriculum,gaussian_blur,456,gaussian_noise,2,14.16
resnet18,curriculum,gaussian_blur,456,gaussian_noise,3,13.78
resnet18,curriculum,gaussian_blur,456,gaussian_blur,1,13.98
resnet18,curriculum,gaussian_blur,456,gaussian_blur,2,42.19
resnet18,curriculum,gaussian_blur,456,gaussian_blur,3,80.73
resnet18,curriculum,gaussian_blur,456,motion_blur,1,13.48
resnet18,curriculum,gaussian_blur,456,motion_blur,2,15.15
resnet18,curriculum,gaussian_blur,456,motion_blur,3,15.93
resnet18,curriculum,gaussian_blur,456,jpeg,1,11.55
resnet18,curriculum,gaussian_blur,456,jpeg,2,11.25
resnet18,curriculum,gaussian_blur,456,jpeg,3,10.91
resnet18,curriculum,gaussian_blur,456,contrast,1,13.66
resnet18,curriculum,gaussian_blur,456,contrast,2,14.76
resnet18,curriculum,gaussian_blur,456,contrast,3,17.24
resnet18,curriculum,gaussian_blur,456,darkening,1,13.48
resnet18,curriculum,gaussian_blur,456,darkening,2,14.44
resnet18,curriculum,gaussian_blur,456,darkening,3,16.52
resnet18,curriculum,gaussian_blur,789,clean,0,12.44
resnet18,curriculum,gaussian_blur,789,gaussian_noise,1,11.94
resnet18,curriculum,gaussian_blur,789,gaussian_noise,2,11.74
resnet18,curriculum,gaussian_blur,789,gaussian_noise,3,10.13
resnet18,curriculum,gaussian_blur,789,gaussian_blur,1,14.71
resnet18,curriculum,gaussian_blur,789,gaussian_blur,2,43.69
resnet18,curriculum,gaussian_blur,789,gaussian_blur,3,80.53
resnet18,curriculum,gaussian_blur,789,motion_blur,1,13.08
resnet18,curriculum,gaussian_blur,789,motion_blur,2,13.92
resnet18,curriculum,gaussian_blur,789,motion_blur,3,13.97
resnet18,curriculum,gaussian_blur,789,jpeg,1,11.24
resnet18,curriculum,gaussian_blur,789,jpeg,2,11.02
resnet18,curriculum,gaussian_blur,789,jpeg,3,10.14
resnet18,curriculum,gaussian_blur,789,contrast,1,13.63
resnet18,curriculum,gaussian_blur,789,contrast,2,16.43
resnet18,curriculum,gaussian_blur,789,contrast,3,19.15
resnet18,curriculum,gaussian_blur,789,darkening,1,13.98
resnet18,curriculum,gaussian_blur,789,darkening,2,15.83
resnet18,curriculum,gaussian_blur,789,darkening,3,18.38
