model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
resnet18,curriculum,gaussian_noise,0,clean,0,89.29
resnet18,curriculum,gaussian_noise,0,gaussian_noise,1,89.52
resnet18,curriculum,gaussian_noise,0,gaussian_noise,2,90.06
resnet18,curriculum,gaussian_noise,0,gaussian_noise,3,89.91
resnet18,curriculum,gaussian_noise,0,gaussian_blur,1,56.94
resnet18,curriculum,gaussian_noise,0,gaussian_blur,2,22.94
resnet18,curriculum,gaussian_noise,0,gaussian_blur,3,17.96
resnet18,curriculum,gaussian_noise,0,motion_blur,1,78.28
resnet18,curriculum,gaussian_noise,0,motion_blur,2,60.51
resnet18,curriculum,gaussian_noise,0,motion_blur,3,46.12
resnet18,curriculum,gaussian_noise,0,jpeg,1,85.76
resnet18,curriculum,gaussian_noise,0,jpeg,2,83.34
resnet18,curriculum,gaussian_noise,0,jpeg,3,71.83
resnet18,curriculum,gaussian_noise,0,contrast,1,85.32
resnet18,curriculum,gaussian_noise,0,contrast,2,73.58
resnet18,curriculum,gaussian_noise,0,contrast,3,42.26
resnet18,curriculum,gaussian_noise,0,darkening,1,85.43
resnet18,curriculum,gaussian_noise,0,darkening,2,75.77
resnet18,curriculum,gaussian_noise,0,darkening,3,46.39
resnet18,curriculum,gaussian_noise,42,clean,0,89.45
resnet18,curriculum,gaussian_noise,42,gaussian_noise,1,89.64
resnet18,curriculum,gaussian_noise,42,gaussian_noise,2,90.36
resnet18,curriculum,gaussian_noise,42,gaussian_noise,3,90.39
resnet18,curriculum,gaussian_noise,42,gaussian_blur,1,54.78
resnet18,curriculum,gaussian_noise,42,gaussian_blur,2,22.7
resnet18,curriculum,gaussian_noise,42,gaussian_blur,3,18.75
resnet18,curriculum,gaussian_noise,42,motion_blur,1,77.26
resnet18,curriculum,gaussian_noise,42,motion_blur,2,58.28
resnet18,curriculum,gaussian_noise,42,motion_blur,3,43.39
resnet18,curriculum,gaussian_noise,42,jpeg,1,86.21
resnet18,curriculum,gaussian_noise,42,jpeg,2,83.65
resnet18,curriculum,gaussian_noise,42,jpeg,3,71.66
resnet18,curriculum,gaussian_noise,42,contrast,1,85.46
resnet18,curriculum,gaussian_noise,42,contrast,2,72.6
resnet18,curriculum,gaussian_noise,42,contrast,3,41.41
resnet18,curriculum,gaussian_noise,42,darkening,1,85.83
resnet18,curriculum,gaussian_noise,42,darkening,2,74.52
resnet18,curriculum,gaussian_noise,42,darkening,3,43.81
resnet18,curriculum,gaussian_noise,123,clean,0,90.05
resnet18,curriculum,gaussian_noise,123,gaussian_noise,1,90.06
resnet18,curriculum,gaussian_noise,123,gaussian_noise,2,90.66
resnet18,curriculum,gaussian_noise,123,gaussian_noise,3,90.16
resnet18,curriculum,gaussian_noise,123,gaussian_blur,1,58.47
resnet18,curriculum,gaussian_noise,123,gaussian_blur,2,24.9
resnet18,curriculum,gaussian_noise,123,gaussian_blur,3,19.55
resnet18,curriculum,gaussian_noise,123,motion_blur,1,79.04
resnet18,curriculum,gaussian_noise,123,motion_blur,2,60.33
resnet18,curriculum,gaussian_noise,123,motion_blur,3,45.85
resnet18,curriculum,gaussian_noise,123,jpeg,1,86.72
resnet18,curriculum,gaussian_noise,123,jpeg,2,84.38
resnet18,curriculum,gaussian_noise,123,jpeg,3,72.72
resnet18,curriculum,gaussian_noise,123,contrast,1,86.17
resnet18,curriculum,gaussian_noise,123,contrast,2,74.28
resnet18,curriculum,gaussian_noise,123,contrast,3,42.66
resnet18,curriculum,gaussian_noise,123,darkening,1,85.81
resnet18,curriculum,gaussian_noise,123,darkening,2,75.23
resnet18,curriculum,gaussian_noise,123,darkening,3,44.26
resnet18,curriculum,gaussian_noise,456,clean,0,89.58
resnet18,curriculum,gaussian_noise,456,gaussian_noise,1,89.55
resnet18,curriculum,gaussian_noise,456,gaussian_noise,2,90.0
resnet18,curriculum,gaussian_noise,456,gaussian_noise,3,90.18
resnet18,curriculum,gaussian_noise,456,gaussian_blur,1,57.32
resnet18,curriculum,gaussian_noise,456,gaussian_blur,2,22.49
resnet18,curriculum,gaussian_noise,456,gaussian_blur,3,16.98
resnet18,curriculum,gaussian_noise,456,motion_blur,1,78.04
resnet18,curriculum,gaussian_noise,456,motion_blur,2,60.43
resnet18,curriculum,gaussian_noise,456,motion_blur,3,46.4
resnet18,curriculum,gaussian_noise,456,jpeg,1,85.75
resnet18,curriculum,gaussian_noise,456,jpeg,2,83.76
resnet18,curriculum,gaussian_noise,456,jpeg,3,71.54
resnet18,curriculum,gaussian_noise,456,contrast,1,85.34
resnet18,curriculum,gaussian_noise,456,contrast,2,73.74
resnet18,curriculum,gaussian_noise,456,contrast,3,42.25
resnet18,curriculum,gaussian_noise,456,darkening,1,85.47
resnet18,curriculum,gaussian_noise,456,darkening,2,75.09
resnet18,curriculum,gaussian_noise,456,darkening,3,46.06
resnet18,curriculum,gaussian_noise,789,clean,0,89.7
resnet18,curriculum,gaussian_noise,789,gaussian_noise,1,89.76
resnet18,curriculum,gaussian_noise,789,gaussian_noise,2,90.23
resnet18,curriculum,gaussian_noise,789,gaussian_noise,3,90.13
resnet18,curriculum,gaussian_noise,789,gaussian_blur,1,59.12
resnet18,curriculum,gaussian_noise,789,gaussian_blur,2,25.77
resnet18,curriculum,gaussian_noise,789,gaussian_blur,3,18.89
resnet18,curriculum,gaussian_noise,789,motion_blur,1,79.09
resnet18,curriculum,gaussian_noise,789,motion_blur,2,61.56
resnet18,curriculum,gaussian_noise,789,motion_blur,3,46.63
resnet18,curriculum,gaussian_noise,789,jpeg,1,86.54
resnet18,curriculum,gaussian_noise,789,jpeg,2,84.15
resnet18,curriculum,gaussian_noise,789,jpeg,3,72.5
resnet18,curriculum,gaussian_noise,789,contrast,1,86.32
resnet18,curriculum,gaussian_noise,789,contrast,2,74.06
resnet18,curriculum,gaussian_noise,789,contrast,3,44.99
resnet18,curriculum,gaussian_noise,789,darkening,1,86.26
resnet18,curriculum,gaussian_noise,789,darkening,2,75.77
resnet18,curriculum,gaussian_noise,789,darkening,3,45.24
