model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
resnet18,mixed,none,0,clean,0,91.99
resnet18,mixed,none,0,gaussian_noise,1,91.81
resnet18,mixed,none,0,gaussian_noise,2,90.77
resnet18,mixed,none,0,gaussian_noise,3,88.61
resnet18,mixed,none,0,gaussian_blur,1,90.6
resnet18,mixed,none,0,gaussian_blur,2,85.04
resnet18,mixed,none,0,gaussian_blur,3,78.04
resnet18,mixed,none,0,motion_blur,1,91.72
resnet18,mixed,none,0,motion_blur,2,90.63
resnet18,mixed,none,0,motion_blur,3,89.0
resnet18,mixed,none,0,jpeg,1,89.45
resnet18,mixed,none,0,jpeg,2,87.36
resnet18,mixed,none,0,jpeg,3,80.48
resnet18,mixed,none,0,contrast,1,92.4
resnet18,mixed,none,0,contrast,2,92.54
resnet18,mixed,none,0,contrast,3,92.37
resnet18,mixed,none,0,darkening,1,92.55
resnet18,mixed,none,0,darkening,2,92.57
resnet18,mixed,none,0,darkening,3,92.32
resnet18,mixed,none,42,clean,0,92.09
resnet18,mixed,none,42,gaussian_noise,1,92.17
resnet18,mixed,none,42,gaussian_noise,2,90.9
resnet18,mixed,none,42,gaussian_noise,3,88.6
resnet18,mixed,none,42,gaussian_blur,1,90.39
resnet18,mixed,none,42,gaussian_blur,2,84.86
resnet18,mixed,none,42,gaussian_blur,3,78.23
resnet18,mixed,none,42,motion_blur,1,91.68
resnet18,mixed,none,42,motion_blur,2,90.81
resnet18,mixed,none,42,motion_blur,3,88.67
resnet18,mixed,none,42,jpeg,1,89.43
resnet18,mixed,none,42,jpeg,2,87.56
resnet18,mixed,none,42,jpeg,3,80.12
resnet18,mixed,none,42,contrast,1,92.35
resnet18,mixed,none,42,contrast,2,92.39
resnet18,mixed,none,42,contrast,3,92.28
resnet18,mixed,none,42,darkening,1,92.34
resnet18,mixed,none,42,darkening,2,92.21
resnet18,mixed,none,42,darkening,3,92.15
resnet18,mixed,none,123,clean,0,92.12
resnet18,mixed,none,123,gaussian_noise,1,91.62
resnet18,mixed,none,123,gaussian_noise,2,91.0
resnet18,mixed,none,123,gaussian_noise,3,88.7
resnet18,mixed,none,123,gaussian_blur,1,90.31
resnet18,mixed,none,123,gaussian_blur,2,85.01
resnet18,mixed,none,123,gaussian_blur,3,78.5
resnet18,mixed,none,123,motion_blur,1,91.64
resnet18,mixed,none,123,motion_blur,2,90.76
resnet18,mixed,none,123,motion_blur,3,88.87
resnet18,mixed,none,123,jpeg,1,89.11
resnet18,mixed,none,123,jpeg,2,87.25
resnet18,mixed,none,123,jpeg,3,79.86
resnet18,mixed,none,123,contrast,1,92.47
resnet18,mixed,none,123,contrast,2,92.46
resnet18,mixed,none,123,contrast,3,91.7
resnet18,mixed,none,123,darkening,1,92.34
resnet18,mixed,none,123,darkening,2,92.37
resnet18,mixed,none,123,darkening,3,92.11
resnet18,mixed,none,456,clean,0,92.22
resnet18,mixed,none,456,gaussian_noise,1,91.73
resnet18,mixed,none,456,gaussian_noise,2,90.73
resnet18,mixed,none,456,gaussian_noise,3,88.87
resnet18,mixed,none,456,gaussian_blur,1,90.45
resnet18,mixed,none,456,gaussian_blur,2,85.11
resnet18,mixed,none,456,gaussian_blur,3,78.87
resnet18,mixed,none,456,motion_blur,1,91.43
resnet18,mixed,none,456,motion_blur,2,90.58
resnet18,mixed,none,456,motion_blur,3,88.79
resnet18,mixed,none,456,jpeg,1,89.56
resnet18,mixed,none,456,jpeg,2,87.85
resnet18,mixed,none,456,jpeg,3,80.35
resnet18,mixed,none,456,contrast,1,92.35
resnet18,mixed,none,456,contrast,2,92.34
resnet18,mixed,none,456,contrast,3,92.21
resnet18,mixed,none,456,darkening,1,92.59
resnet18,mixed,none,456,darkening,2,92.58
resnet18,mixed,none,456,darkening,3,92.62
resnet18,mixed,none,789,clean,0,92.05
resnet18,mixed,none,789,gaussian_noise,1,91.75
resnet18,mixed,none,789,gaussian_noise,2,90.99
resnet18,mixed,none,789,gaussian_noise,3,88.68
resnet18,mixed,none,789,gaussian_blur,1,90.63
resnet18,mixed,none,789,gaussian_blur,2,84.76
resnet18,mixed,none,789,gaussian_blur,3,78.84
resnet18,mixed,none,789,motion_blur,1,91.5
resnet18,mixed,none,789,motion_blur,2,90.5
resnet18,mixed,none,789,motion_blur,3,88.52
resnet18,mixed,none,789,jpeg,1,89.34
resnet18,mixed,none,789,jpeg,2,87.7
resnet18,mixed,none,789,jpeg,3,79.79
resnet18,mixed,none,789,contrast,1,92.45
resnet18,mixed,none,789,contrast,2,92.44
resnet18,mixed,none,789,contrast,3,92.06
resnet18,mixed,none,789,darkening,1,92.29
resnet18,mixed,none,789,darkening,2,92.27
resnet18,mixed,none,789,darkening,3,92.37
