model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
resnet18,single,gaussian_blur,0,clean,0,86.31
resnet18,single,gaussian_blur,0,gaussian_noise,1,84.84
resnet18,single,gaussian_blur,0,gaussian_noise,2,78.69
resnet18,single,gaussian_blur,0,gaussian_noise,3,61.21
resnet18,single,gaussian_blur,0,gaussian_blur,1,86.75
resnet18,single,gaussian_blur,0,gaussian_blur,2,84.75
resnet18,single,gaussian_blur,0,gaussian_blur,3,80.82
resnet18,single,gaussian_blur,0,motion_blur,1,86.49
resnet18,single,gaussian_blur,0,motion_blur,2,84.26
resnet18,single,gaussian_blur,0,motion_blur,3,78.66
resnet18,single,gaussian_blur,0,jpeg,1,76.6
resnet18,single,gaussian_blur,0,jpeg,2,73.73
resnet18,single,gaussian_blur,0,jpeg,3,60.75
resnet18,single,gaussian_blur,0,contrast,1,86.18
resnet18,single,gaussian_blur,0,contrast,2,84.11
resnet18,single,gaussian_blur,0,contrast,3,76.78
resnet18,single,gaussian_blur,0,darkening,1,86.04
resnet18,single,gaussian_blur,0,darkening,2,83.34
resnet18,single,gaussian_blur,0,darkening,3,73.9
resnet18,single,gaussian_blur,42,clean,0,86.85
resnet18,single,gaussian_blur,42,gaussian_noise,1,85.1
resnet18,single,gaussian_blur,42,gaussian_noise,2,77.02
resnet18,single,gaussian_blur,42,gaussian_noise,3,59.75
resnet18,single,gaussian_blur,42,gaussian_blur,1,88.1
resnet18,single,gaussian_blur,42,gaussian_blur,2,85.67
resnet18,single,gaussian_blur,42,gaussian_blur,3,81.69
resnet18,single,gaussian_blur,42,motion_blur,1,87.39
resnet18,single,gaussian_blur,42,motion_blur,2,84.71
resnet18,single,gaussian_blur,42,motion_blur,3,78.21
resnet18,single,gaussian_blur,42,jpeg,1,77.58
resnet18,single,gaussian_blur,42,jpeg,2,73.91
resnet18,single,gaussian_blur,42,jpeg,3,60.74
resnet18,single,gaussian_blur,42,contrast,1,86.46
resnet18,single,gaussian_blur,42,contrast,2,84.97
resnet18,single,gaussian_blur,42,contrast,3,79.06
resnet18,single,gaussian_blur,42,darkening,1,86.29
resnet18,single,gaussian_blur,42,darkening,2,83.88
resnet18,single,gaussian_blur,42,darkening,3,76.38
resnet18,single,gaussian_blur,123,clean,0,85.66
resnet18,single,gaussian_blur,123,gaussian_noise,1,84.16
resnet18,single,gaussian_blur,123,gaussian_noise,2,76.81
resnet18,single,gaussian_blur,123,gaussian_noise,3,58.44
resnet18,single,gaussian_blur,123,gaussian_blur,1,87.33
resnet18,single,gaussian_blur,123,gaussian_blur,2,84.79
resnet18,single,gaussian_blur,123,gaussian_blur,3,81.22
resnet18,single,gaussian_blur,123,motion_blur,1,86.41
resnet18,single,gaussian_blur,123,motion_blur,2,83.37
resnet18,single,gaussian_blur,123,motion_blur,3,77.17
resnet18,single,gaussian_blur,123,jpeg,1,77.21
resnet18,single,gaussian_blur,123,jpeg,2,73.93
resnet18,single,gaussian_blur,123,jpeg,3,61.45
resnet18,single,gaussian_blur,123,contrast,1,85.67
resnet18,single,gaussian_blur,123,contrast,2,84.1
resnet18,single,gaussian_blur,123,contrast,3,78.39
resnet18,single,gaussian_blur,123,darkening,1,84.64
resnet18,single,gaussian_blur,123,darkening,2,82.06
resnet18,single,gaussian_blur,123,darkening,3,74.19
resnet18,single,gaussian_blur,456,clean,0,86.65
resnet18,single,gaussian_blur,456,gaussian_noise,1,85.12
resnet18,single,gaussian_blur,456,gaussian_noise,2,77.38
resnet18,single,gaussian_blur,456,gaussian_noise,3,59.43
resnet18,single,gaussian_blur,456,gaussian_blur,1,88.11
resnet18,single,gaussian_blur,456,gaussian_blur,2,85.67
resnet18,single,gaussian_blur,456,gaussian_blur,3,81.36
resnet18,single,gaussian_blur,456,motion_blur,1,87.29
resnet18,single,gaussian_blur,456,motion_blur,2,84.35
resnet18,single,gaussian_blur,456,motion_blur,3,77.62
resnet18,single,gaussian_blur,456,jpeg,1,77.25
resnet18,single,gaussian_blur,456,jpeg,2,73.93
resnet18,single,gaussian_blur,456,jpeg,3,61.47
resnet18,single,gaussian_blur,456,contrast,1,86.51
resnet18,single,gaussian_blur,456,contrast,2,85.22
resnet18,single,gaussian_blur,456,contrast,3,79.74
resnet18,single,gaussian_blur,456,darkening,1,86.48
resnet18,single,gaussian_blur,456,darkening,2,84.22
resnet18,single,gaussian_blur,456,darkening,3,77.67
resnet18,single,gaussian_blur,789,clean,0,84.72
resnet18,single,gaussian_blur,789,gaussian_noise,1,83.55
resnet18,single,gaussian_blur,789,gaussian_noise,2,76.21
resnet18,single,gaussian_blur,789,gaussian_noise,3,58.88
resnet18,single,gaussian_blur,789,gaussian_blur,1,87.35
resnet18,single,gaussian_blur,789,gaussian_blur,2,84.81
resnet18,single,gaussian_blur,789,gaussian_blur,3,81.25
resnet18,single,gaussian_blur,789,motion_blur,1,85.79
resnet18,single,gaussian_blur,789,motion_blur,2,83.1
resnet18,single,gaussian_blur,789,motion_blur,3,77.07
resnet18,single,gaussian_blur,789,jpeg,1,76.35
resnet18,single,gaussian_blur,789,jpeg,2,73.09
resnet18,single,gaussian_blur,789,jpeg,3,61.85
resnet18,single,gaussian_blur,789,contrast,1,85.12
resnet18,single,gaussian_blur,789,contrast,2,83.91
resnet18,single,gaussian_blur,789,contrast,3,77.72
resnet18,single,gaussian_blur,789,darkening,1,84.27
resnet18,single,gaussian_blur,789,darkening,2,81.42
resnet18,single,gaussian_blur,789,darkening,3,72.16
