model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
resnet18,single,gaussian_noise,0,clean,0,93.16
resnet18,single,gaussian_noise,0,gaussian_noise,1,92.91
resnet18,single,gaussian_noise,0,gaussian_noise,2,92.35
resnet18,single,gaussian_noise,0,gaussian_noise,3,89.88
resnet18,single,gaussian_noise,0,gaussian_blur,1,68.55
resnet18,single,gaussian_noise,0,gaussian_blur,2,24.6
resnet18,single,gaussian_noise,0,gaussian_blur,3,18.53
resnet18,single,gaussian_noise,0,motion_blur,1,85.97
resnet18,single,gaussian_noise,0,motion_blur,2,68.76
resnet18,single,gaussian_noise,0,motion_blur,3,52.3
resnet18,single,gaussian_noise,0,jpeg,1,89.36
resnet18,single,gaussian_noise,0,jpeg,2,86.67
resnet18,single,gaussian_noise,0,jpeg,3,71.1
resnet18,single,gaussian_noise,0,contrast,1,92.54
resnet18,single,gaussian_noise,0,contrast,2,89.61
resnet18,single,gaussian_noise,0,contrast,3,77.16
resnet18,single,gaussian_noise,0,darkening,1,92.52
resnet18,single,gaussian_noise,0,darkening,2,89.95
resnet18,single,gaussian_noise,0,darkening,3,77.7
resnet18,single,gaussian_noise,42,clean,0,93.18
resnet18,single,gaussian_noise,42,gaussian_noise,1,93.08
resnet18,single,gaussian_noise,42,gaussian_noise,2,92.28
resnet18,single,gaussian_noise,42,gaussian_noise,3,90.46
resnet18,single,gaussian_noise,42,gaussian_blur,1,67.22
resnet18,single,gaussian_noise,42,gaussian_blur,2,28.8
resnet18,single,gaussian_noise,42,gaussian_blur,3,22.12
resnet18,single,gaussian_noise,42,motion_blur,1,85.62
resnet18,single,gaussian_noise,42,motion_blur,2,68.2
resnet18,single,gaussian_noise,42,motion_blur,3,52.19
resnet18,single,gaussian_noise,42,jpeg,1,89.56
resnet18,single,gaussian_noise,42,jpeg,2,87.06
resnet18,single,gaussian_noise,42,jpeg,3,71.59
resnet18,single,gaussian_noise,42,contrast,1,92.29
resnet18,single,gaussian_noise,42,contrast,2,88.76
resnet18,single,gaussian_noise,42,contrast,3,74.0
resnet18,single,gaussian_noise,42,darkening,1,92.2
resnet18,single,gaussian_noise,42,darkening,2,89.49
resnet18,single,gaussian_noise,42,darkening,3,76.54
resnet18,single,gaussian_noise,123,clean,0,92.86
resnet18,single,gaussian_noise,123,gaussian_noise,1,92.98
resnet18,single,gaussian_noise,123,gaussian_noise,2,92.59
resnet18,single,gaussian_noise,123,gaussian_noise,3,90.07
resnet18,single,gaussian_noise,123,gaussian_blur,1,65.63
resnet18,single,gaussian_noise,123,gaussian_blur,2,24.78
resnet18,single,gaussian_noise,123,gaussian_blur,3,20.03
resnet18,single,gaussian_noise,123,motion_blur,1,86.69
resnet18,single,gaussian_noise,123,motion_blur,2,68.6
resnet18,single,gaussian_noise,123,motion_blur,3,51.39
resnet18,single,gaussian_noise,123,jpeg,1,89.56
resnet18,single,gaussian_noise,123,jpeg,2,86.77
resnet18,single,gaussian_noise,123,jpeg,3,71.4
resnet18,single,gaussian_noise,123,contrast,1,92.27
resnet18,single,gaussian_noise,123,contrast,2,89.29
resnet18,single,gaussian_noise,123,contrast,3,74.56
resnet18,single,gaussian_noise,123,darkening,1,92.38
resnet18,single,gaussian_noise,123,darkening,2,89.56
resnet18,single,gaussian_noise,123,darkening,3,75.38
resnet18,single,gaussian_noise,456,clean,0,93.15
resnet18,single,gaussian_noise,456,gaussian_noise,1,93.02
resnet18,single,gaussian_noise,456,gaussian_noise,2,92.37
resnet18,single,gaussian_noise,456,gaussian_noise,3,90.48
resnet18,single,gaussian_noise,456,gaussian_blur,1,66.69
resnet18,single,gaussian_noise,456,gaussian_blur,2,27.9
resnet18,single,gaussian_noise,456,gaussian_blur,3,21.49
resnet18,single,gaussian_noise,456,motion_blur,1,85.54
resnet18,single,gaussian_noise,456,motion_blur,2,67.32
resnet18,single,gaussian_noise,456,motion_blur,3,52.16
resnet18,single,gaussian_noise,456,jpeg,1,89.36
resnet18,single,gaussian_noise,456,jpeg,2,87.06
resnet18,single,gaussian_noise,456,jpeg,3,70.94
resnet18,single,gaussian_noise,456,contrast,1,92.54
resnet18,single,gaussian_noise,456,contrast,2,89.93
resnet18,single,gaussian_noise,456,contrast,3,77.87
resnet18,single,gaussian_noise,456,darkening,1,92.26
resnet18,single,gaussian_noise,456,darkening,2,89.56
resnet18,single,gaussian_noise,456,darkening,3,76.31
resnet18,single,gaussian_noise,789,clean,0,92.99
resnet18,single,gaussian_noise,789,gaussian_noise,1,92.78
resnet18,single,gaussian_noise,789,gaussian_noise,2,92.04
resnet18,single,gaussian_noise,789,gaussian_noise,3,90.19
resnet18,single,gaussian_noise,789,gaussian_blur,1,67.01
resnet18,single,gaussian_noise,789,gaussian_blur,2,25.95
resnet18,single,gaussian_noise,789,gaussian_blur,3,20.82
resnet18,single,gaussian_noise,789,motion_blur,1,86.47
resnet18,single,gaussian_noise,789,motion_blur,2,69.28
resnet18,single,gaussian_noise,789,motion_blur,3,53.23
resnet18,single,gaussian_noise,789,jpeg,1,89.35
resnet18,single,gaussian_noise,789,jpeg,2,86.59
resnet18,single,gaussian_noise,789,jpeg,3,70.93
resnet18,single,gaussian_noise,789,contrast,1,92.38
resnet18,single,gaussian_noise,789,contrast,2,89.3
resnet18,single,gaussian_noise,789,contrast,3,75.83
resnet18,single,gaussian_noise,789,darkening,1,92.27
resnet18,single,gaussian_noise,789,darkening,2,89.52
resnet18,single,gaussian_noise,789,darkening,3,77.83
