model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
mobilenetv2,baseline,none,0,clean,0,89.2
mobilenetv2,baseline,none,0,gaussian_noise,1,82.08
mobilenetv2,baseline,none,0,gaussian_noise,2,43.03
mobilenetv2,baseline,none,0,gaussian_noise,3,13.53
mobilenetv2,baseline,none,0,gaussian_blur,1,36.25
mobilenetv2,baseline,none,0,gaussian_blur,2,18.89
mobilenetv2,baseline,none,0,gaussian_blur,3,14.1
mobilenetv2,baseline,none,0,motion_blur,1,70.06
mobilenetv2,baseline,none,0,motion_blur,2,50.5
mobilenetv2,baseline,none,0,motion_blur,3,36.77
mobilenetv2,baseline,none,0,jpeg,1,70.32
mobilenetv2,baseline,none,0,jpeg,2,63.4
mobilenetv2,baseline,none,0,jpeg,3,41.93
mobilenetv2,baseline,none,0,contrast,1,88.47
mobilenetv2,baseline,none,0,contrast,2,85.25
mobilenetv2,baseline,none,0,contrast,3,71.1
mobilenetv2,baseline,none,0,darkening,1,88.49
mobilenetv2,baseline,none,0,darkening,2,85.6
mobilenetv2,baseline,none,0,darkening,3,74.12
mobilenetv2,baseline,none,42,clean,0,89.07
mobilenetv2,baseline,none,42,gaussian_noise,1,83.98
mobilenetv2,baseline,none,42,gaussian_noise,2,47.18
mobilenetv2,baseline,none,42,gaussian_noise,3,16.74
mobilenetv2,baseline,none,42,gaussian_blur,1,33.21
mobilenetv2,baseline,none,42,gaussian_blur,2,18.49
mobilenetv2,baseline,none,42,gaussian_blur,3,16.95
mobilenetv2,baseline,none,42,motion_blur,1,68.09
mobilenetv2,baseline,none,42,motion_blur,2,51.0
mobilenetv2,baseline,none,42,motion_blur,3,38.87
mobilenetv2,baseline,none,42,jpeg,1,72.4
mobilenetv2,baseline,none,42,jpeg,2,64.52
mobilenetv2,baseline,none,42,jpeg,3,41.31
mobilenetv2,baseline,none,42,contrast,1,88.62
mobilenetv2,baseline,none,42,contrast,2,85.67
mobilenetv2,baseline,none,42,contrast,3,75.23
mobilenetv2,baseline,none,42,darkening,1,88.76
mobilenetv2,baseline,none,42,darkening,2,86.76
mobilenetv2,baseline,none,42,darkening,3,77.04
mobilenetv2,baseline,none,123,clean,0,89.27
mobilenetv2,baseline,none,123,gaussian_noise,1,82.05
mobilenetv2,baseline,none,123,gaussian_noise,2,40.52
mobilenetv2,baseline,none,123,gaussian_noise,3,13.23
mobilenetv2,baseline,none,123,gaussian_blur,1,37.6
mobilenetv2,baseline,none,123,gaussian_blur,2,20.06
mobilenetv2,baseline,none,123,gaussian_blur,3,15.53
mobilenetv2,baseline,none,123,motion_blur,1,71.62
mobilenetv2,baseline,none,123,motion_blur,2,52.03
mobilenetv2,baseline,none,123,motion_blur,3,37.53
mobilenetv2,baseline,none,123,jpeg,1,71.16
mobilenetv2,baseline,none,123,jpeg,2,63.24
mobilenetv2,baseline,none,123,jpeg,3,42.13
mobilenetv2,baseline,none,123,contrast,1,88.35
mobilenetv2,baseline,none,123,contrast,2,85.27
mobilenetv2,baseline,none,123,contrast,3,73.0
mobilenetv2,baseline,none,123,darkening,1,88.57
mobilenetv2,baseline,none,123,darkening,2,86.1
mobilenetv2,baseline,none,123,darkening,3,75.48
mobilenetv2,baseline,none,456,clean,0,89.19
mobilenetv2,baseline,none,456,gaussian_noise,1,83.51
mobilenetv2,baseline,none,456,gaussian_noise,2,49.07
mobilenetv2,baseline,none,456,gaussian_noise,3,17.87
mobilenetv2,baseline,none,456,gaussian_blur,1,35.67
mobilenetv2,baseline,none,456,gaussian_blur,2,18.19
mobilenetv2,baseline,none,456,gaussian_blur,3,16.16
mobilenetv2,baseline,none,456,motion_blur,1,72.11
mobilenetv2,baseline,none,456,motion_blur,2,54.37
mobilenetv2,baseline,none,456,motion_blur,3,41.62
mobilenetv2,baseline,none,456,jpeg,1,73.11
mobilenetv2,baseline,none,456,jpeg,2,66.54
mobilenetv2,baseline,none,456,jpeg,3,46.52
mobilenetv2,baseline,none,456,contrast,1,88.37
mobilenetv2,baseline,none,456,contrast,2,85.89
mobilenetv2,baseline,none,456,contrast,3,74.72
mobilenetv2,baseline,none,456,darkening,1,88.59
mobilenetv2,baseline,none,456,darkening,2,86.01
mobilenetv2,baseline,none,456,darkening,3,75.88
mobilenetv2,baseline,none,789,clean,0,89.16
mobilenetv2,baseline,none,789,gaussian_noise,1,84.69
mobilenetv2,baseline,none,789,gaussian_noise,2,53.11
mobilenetv2,baseline,none,789,gaussian_noise,3,25.67
mobilenetv2,baseline,none,789,gaussian_blur,1,37.69
mobilenetv2,baseline,none,789,gaussian_blur,2,18.28
mobilenetv2,baseline,none,789,gaussian_blur,3,13.17
mobilenetv2,baseline,none,789,motion_blur,1,73.83
mobilenetv2,baseline,none,789,motion_blur,2,55.94
mobilenetv2,baseline,none,789,motion_blur,3,40.2
mobilenetv2,baseline,none,789,jpeg,1,72.75
mobilenetv2,baseline,none,789,jpeg,2,65.45
mobilenetv2,baseline,none,789,jpeg,3,46.06
mobilenetv2,baseline,none,789,contrast,1,88.51
mobilenetv2,baseline,none,789,contrast,2,86.11
mobilenetv2,baseline,none,789,contrast,3,73.22
mobilenetv2,baseline,none,789,darkening,1,88.95
mobilenetv2,baseline,none,789,darkening,2,86.68
mobilenetv2,baseline,none,789,darkening,3,75.29
