model,strategy,deg_type_trained,seed,eval_degradation,eval_severity,accuracy
resnet18,baseline,none,0,clean,0,95.02
resnet18,baseline,none,0,gaussian_noise,1,91.81
resnet18,baseline,none,0,gaussian_noise,2,67.07
resnet18,baseline,none,0,gaussian_noise,3,23.69
resnet18,baseline,none,0,gaussian_blur,1,39.65
resnet18,baseline,none,0,gaussian_blur,2,20.1
resnet18,baseline,none,0,gaussian_blur,3,19.51
resnet18,baseline,none,0,motion_blur,1,79.94
resnet18,baseline,none,0,motion_blur,2,57.14
resnet18,baseline,none,0,motion_blur,3,37.11
resnet18,baseline,none,0,jpeg,1,75.88
resnet18,baseline,none,0,jpeg,2,65.42
resnet18,baseline,none,0,jpeg,3,38.83
resnet18,baseline,none,0,contrast,1,94.86
resnet18,baseline,none,0,contrast,2,93.76
resnet18,baseline,none,0,contrast,3,88.29
resnet18,baseline,none,0,darkening,1,94.63
resnet18,baseline,none,0,darkening,2,93.75
resnet18,baseline,none,0,darkening,3,89.96
resnet18,baseline,none,42,clean,0,94.89
resnet18,baseline,none,42,gaussian_noise,1,92.23
resnet18,baseline,none,42,gaussian_noise,2,70.51
resnet18,baseline,none,42,gaussian_noise,3,26.17
resnet18,baseline,none,42,gaussian_blur,1,41.69
resnet18,baseline,none,42,gaussian_blur,2,15.49
resnet18,baseline,none,42,gaussian_blur,3,15.71
resnet18,baseline,none,42,motion_blur,1,83.26
resnet18,baseline,none,42,motion_blur,2,61.78
resnet18,baseline,none,42,motion_blur,3,41.25
resnet18,baseline,none,42,jpeg,1,77.62
resnet18,baseline,none,42,jpeg,2,67.8
resnet18,baseline,none,42,jpeg,3,41.42
resnet18,baseline,none,42,contrast,1,94.43
resnet18,baseline,none,42,contrast,2,93.03
resnet18,baseline,none,42,contrast,3,88.94
resnet18,baseline,none,42,darkening,1,94.54
resnet18,baseline,none,42,darkening,2,93.45
resnet18,baseline,none,42,darkening,3,89.2
resnet18,baseline,none,123,clean,0,95.07
resnet18,baseline,none,123,gaussian_noise,1,91.92
resnet18,baseline,none,123,gaussian_noise,2,69.56
resnet18,baseline,none,123,gaussian_noise,3,24.63
resnet18,baseline,none,123,gaussian_blur,1,35.57
resnet18,baseline,none,123,gaussian_blur,2,20.53
resnet18,baseline,none,123,gaussian_blur,3,18.87
resnet18,baseline,none,123,motion_blur,1,82.2
resnet18,baseline,none,123,motion_blur,2,58.91
resnet18,baseline,none,123,motion_blur,3,38.01
resnet18,baseline,none,123,jpeg,1,76.37
resnet18,baseline,none,123,jpeg,2,67.35
resnet18,baseline,none,123,jpeg,3,39.97
resnet18,baseline,none,123,contrast,1,94.63
resnet18,baseline,none,123,contrast,2,93.41
resnet18,baseline,none,123,contrast,3,88.23
resnet18,baseline,none,123,darkening,1,94.82
resnet18,baseline,none,123,darkening,2,93.67
resnet18,baseline,none,123,darkening,3,89.82
resnet18,baseline,none,456,clean,0,95.13
resnet18,baseline,none,456,gaussian_noise,1,91.93
resnet18,baseline,none,456,gaussian_noise,2,70.74
resnet18,baseline,none,456,gaussian_noise,3,25.44
resnet18,baseline,none,456,gaussian_blur,1,39.36
resnet18,baseline,none,456,gaussian_blur,2,21.39
resnet18,baseline,none,456,gaussian_blur,3,19.68
resnet18,baseline,none,456,motion_blur,1,82.74
resnet18,baseline,none,456,motion_blur,2,61.4
resnet18,baseline,none,456,motion_blur,3,41.07
resnet18,baseline,none,456,jpeg,1,78.58
resnet18,baseline,none,456,jpeg,2,69.46
resnet18,baseline,none,456,jpeg,3,41.58
resnet18,baseline,none,456,contrast,1,94.85
resnet18,baseline,none,456,contrast,2,93.6
resnet18,baseline,none,456,contrast,3,89.2
resnet18,baseline,none,456,darkening,1,94.77
resnet18,baseline,none,456,darkening,2,93.78
resnet18,baseline,none,456,darkening,3,90.28
resnet18,baseline,none,789,clean,0,95.35
resnet18,baseline,none,789,gaussian_noise,1,91.63
resnet18,baseline,none,789,gaussian_noise,2,67.23
resnet18,baseline,none,789,gaussian_noise,3,24.9
resnet18,baseline,none,789,gaussian_blur,1,39.68
resnet18,baseline,none,789,gaussian_blur,2,14.66
resnet18,baseline,none,789,gaussian_blur,3,13.61
resnet18,baseline,none,789,motion_blur,1,80.88
resnet18,baseline,none,789,motion_blur,2,57.04
resnet18,baseline,none,789,motion_blur,3,38.49
resnet18,baseline,none,789,jpeg,1,76.26
resnet18,baseline,none,789,jpeg,2,66.16
resnet18,baseline,none,789,jpeg,3,37.28
resnet18,baseline,none,789,contrast,1,95.1
resnet18,baseline,none,789,contrast,2,93.84
resnet18,baseline,none,789,contrast,3,88.79
resnet18,baseline,none,789,darkening,1,95.06
resnet18,baseline,none,789,darkening,2,93.93
resnet18,baseline,none,789,darkening,3,89.91
